 unique id,image,brand,category,collection,code,finishing,size,quantity,detail,currency in euro,retail price in euro,rate,currency,retail price,discount,nett price,location,status,arriving ETA,booking,booking expired,mix category
1,Blueside-glenda ball candle holder_clear.jpg,BLUESIDE,Accessories - Living,Glenda Ball Candle holder,BSBM077858,Clear,Ø 190 x 190mm,10,-,€,418,"19,000",Rp,"7,942,000",,,WH Barito,,,,,Accessories
2,Blueside-glenda candle holder_clear.jpg,BLUESIDE,Accessories - Living,Glenda Candle holder,BSBM076021,Clear,Ø 160 x 280mm,10,-,€,490,"19,000",Rp,"9,310,000",,,WH Barito,,,,,Accessories
3,Blueside-ambrosia flat version_clear.jpg,BLUESIDE,Tableware,Ambrosia Flat version,BSDN087964,Clear,Ø 150 x H 160 mm,4,-,€,140,"19,000",Rp,"2,660,000",,,WH Barito,,,,,
4,Blueside-anastasia infuser_clear.jpeg,BLUESIDE,Tableware,Anastasia Infusiera,BSDN071759,Clear,Ø 32 x H 150 mm,6,-,€,110,"19,000",Rp,"2,090,000",,,WH Barito,,,,,
5,Blueside-bea teapot_clear.jpeg,BLUESIDE,Tableware,"Bea, Teapot",BSDN078120,Clear,Ø 120 x H 210 mm,10,-,€,374,"19,000",Rp,"7,106,000",,,WH Barito,,,,,
6,Blueside-briki coffee cup_clear.jpg,BLUESIDE,Tableware,"Briki, Coffee cup",BSDN089466,Clear,Ø  63 x H. 68 mm,12,-,€,58,"19,000",Rp,"1,102,000",,,WH Barito,,,,,
7,Blueside-briki turkish coffee maker for 2_clear.jpg,BLUESIDE,Tableware,"Briki, Turkish Coffee maker for 2 people",BSDN089465,Clear,"Ø 80 x H 90mm, handle 150mm lenght",6,-,€,136,"19,000",Rp,"2,584,000",,,WH Barito,,,,,
8,Blueside-briki turkish coffee maker for 4_clear.jpg,BLUESIDE,Tableware,"Briki, Turkish Coffee maker for 4 people",BSDN089464,Clear,"Ø 107 x H 120mm, handle 200mm lenght",4,-,€,148,"19,000",Rp,"2,812,000",,,WH Barito,,,,,
9,Blueside-chadi glass_clear.jpeg,BLUESIDE,Tableware,"Chàdi, oxygenating glass",BSDN090945,Clear,Ø 95 x H 292 mm,1,-,€,128,"19,000",Rp,"2,433,900",,,WH Barito,,,,,
10,Blueside-chino glass for cocktails and spirits_clear.jpeg,BLUESIDE,Tableware,Chino Glass,BSDN071757,Clear,Ø 110 x H 164 mm,24,-,€,98,"19,000",Rp,"1,862,000",,,WH Barito,,,,,
11,Blueside-cucumber glass_clear.jpeg,BLUESIDE,Tableware,Cucumber Beer and long drink glass,BSDN064017,Clear,Ø 90 x H 223 mm,12,-,€,138,"19,000",Rp,"2,622,000",,,WH Barito,,,,,
